問題,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正解の選択肢,全体の解説,1の解説,2の解説,3の解説,4の解説,5の解説
R2 第24問：以下のａ～ｄは、分析したい状況に関する記述である。それぞれの状況において、どのような分析手 法が適切か。最も適切なものの組み合わせを下記の解答群から選べ。 a ある企業には3つの事業部がある。事業部ごとの売上高利益率の日次データが与えられている。 この3つの事業部で売上高利益率に差異が見られるのかを検討したい。 b ある商品の売上高の日次データと、その商品の売上高に関係があると想定されるいくつかの変 数のデータがある。どの変数が売上高にどの程度寄与しているのかを検討したい。 c 数千人の顧客について、属性データ（男女・所得・購入履歴など）や趣味・嗜好に関するデー タがある。顧客の特性にあったマーケティング活動をしたいので、顧客を分類したい。 d Webサイトの候補として2つのパターンがある。どちらのパターンを採用するかを決めたい。,ａ：判別分析 ｂ：回帰分析 ｃ：コンジョイント分析 ｄ： A/B 分析,ａ：判別分析 ｂ：相関分析 ｃ：コンジョイント分析 ｄ：アクセス分析,ａ：分散分析 ｂ：回帰分析 ｃ：クラスター分析 ｄ： A/B 分析,ａ：分散分析 ｂ：相関分析 ｃ：クラスター分析 ｄ：アクセス分析,,3,統計的分析手法に関する問題である。 a 分散分析が該当する。分散分析とは、母集団の数が3つ以上ある場合に、それらの平均値 間に差があるかどうかを検討する方法である。「3つの事業部で売上高利益率に差異が見ら間に差があるかどうかを検討する方法である。 3つの事業部で売上高利益率に差異が見ら れるのかを検討」とあるため、分散分析が該当する。 b 回帰分析が該当する。回帰分析とは、与えられたデータから未観測値を予測するために使 用される手法である。例えば、本選択肢の場合、「いくつかの変数」が〇〇のとき、売上高は △△円と予測できる、といった分析ができる。 c クラスター分析が該当する。クラスター分析とは、集団をいくつかに分割し、類似度の近いも の同士にグルーピングするための手法である。本選択肢の場合、クラスター分析によって、顧 客を、特性の近いもの同士にグルーピングし、そのグループごとの特性にあったマーケティング 活動を行うことになる。 d A/B分析が該当する。A/B分析（A/Bテスト）とは、複数のパターンを用意し、どれが一番効果 を生み出すかを比較・検証する手法である。本選択肢の場合、Web サイトの候補としてAパター ンとBパターンの2つを用意して検証し、どちらのWebサイトの方が効果が高いかを分析する。 したがって、ウが正解となる。 他の選択肢にあげられた主な用語の意味は以下の通りである。 ・判別分析 判別分析とは、いくつかのグループに分かれているとき、ある対象者がどのグループに属するかを 判別する手法である。 ・相関分析 相関分析とは、2つのデータの関係の強弱を示す相関係数を計算し、数値化する手法である。 ・コンジョイント分析 コンジョイント分析とは、属性の異なる仮説的製品を提示し順位付けさせることで各属性の重要度 を決定し、効果的な属性の組み合わせを見つけ出す手法である。 ・アクセス分析 アクセス分析とは、Webサイトの閲覧者の属性や行動を分析する手法である。,,,,,
R2 第25問：IoT（Internet of Things）、AI、RPA（Robotic Process Automation）などの新しい情報通信技術や 考え方などが現れ、現場への適用が試みられつつある。 以下に示す情報化の取り組みについての記述の中で、RPAに関する事例として、最も適切なものはど れか。,ある回転寿司店では、皿にICタグを取り付けて、レーンを流れている皿の売上状況を把握し、 これらのデータを蓄積することで、より正確な需要を予測することが可能となり、レーンに流す ネタや量をコントロールできるようになった。,ある食品メーカーでは、卸売企業からPOSデータの提供を受けていた。このため、卸売企業が 設置したダウンロードのためのWebサイトにアクセスして、条件を設定した上でPOSデータを収 集する業務があった。これは定型的な業務であるが、かなりの時間を要していた。この作業を自 動化するソフトウェアを導入することで所要時間を大幅に削減することができた。,あるパン屋では、レジの横にパンを自動判別するスキャナーを設置し、顧客が精算する際に自 動的に判別したデータをネットワークにアップし、店舗と離れた場所からでも販売状況をリアル タイムで把握できるシステムを導入した。,あるラーメン店では、人型をしたロボットを導入した。顧客が顔パスアプリに写真とニックネ ームを事前に登録しておくと、ロボットが常連客の顔を認識し、購入履歴や来店頻度に合わせて サービスを提供することが可能となった。 50,,2,RPAに関する問題である。 RPA（Robotic Process Automation）は、これまで人間が行ってきた定型的なPC操作を自動化する ソフトウェア（ソフトウェアロボット）のことである。 ア 不適切である。本選択肢はAIの内容である。レーンを流れている皿の売上状況のデータを蓄 積し、それに基づいてAIがより正確な需要予測をするといった事例であり、RPAの事例には当 てはまらない。 イ 適切である。本選択肢は、これまで人間が行ってきた定型的なPC操作をソフトウェアにより 自動化するといった事例であり、RPAの事例に当てはまる。 ウ 不適切である。本選択肢はIoTの内容である。IoTとは、「モノのインターネット」と呼ばれ、コン ピ タなどの情報 通信機器だけでなく 世の中に存在する様々な物体（モノ）に通信機能をピュータなどの情報・通信機器だけでなく、世の中に存在する様々な物体（モノ）に通信機能を 持たせ、インターネットに接続したり相互に通信することにより、自動認識や自動制御、遠隔計 測などを行うことををいう。本選択肢は、パンを自動判別するスキャナーで判別したデータをネッ トワークにアップし、遠隔地でも販売状況を把握できるようにするといったIoTの事例であり、 RPAの事例には当てはまらない。 エ 不適切である。本選択肢はAIの内容である。AIによる顔認識技術の事例であり、RPAの事 例には当てはまらない。 144,ア 不適切である。本選択肢はAIの内容である。レーンを流れている皿の売上状況のデータを蓄 積し、それに基づいてAIがより正確な需要予測をするといった事例であり、RPAの事例には当 てはまらない。,イ 適切である。本選択肢は、これまで人間が行ってきた定型的なPC操作をソフトウェアにより 自動化するといった事例であり、RPAの事例に当てはまる。,ウ 不適切である。本選択肢はIoTの内容である。IoTとは、「モノのインターネット」と呼ばれ、コン ピ タなどの情報 通信機器だけでなく 世の中に存在する様々な物体（モノ）に通信機能をピュータなどの情報・通信機器だけでなく、世の中に存在する様々な物体（モノ）に通信機能を 持たせ、インターネットに接続したり相互に通信することにより、自動認識や自動制御、遠隔計 測などを行うことををいう。本選択肢は、パンを自動判別するスキャナーで判別したデータをネッ トワークにアップし、遠隔地でも販売状況を把握できるようにするといったIoTの事例であり、 RPAの事例には当てはまらない。,エ 不適切である。本選択肢はAIの内容である。AIによる顔認識技術の事例であり、RPAの事 例には当てはまらない。 144,
R1 第2問：レーザ光を利用してデータの読み書きを行う記憶媒体にはさまざまな種類があり、それぞれの特徴を 理解する必要がある。 記憶媒体に関する記述として、最も適切なものはどれか。,BD-ROM は、データを未記録部分へ繰り返し追記することができる。,BD-R は、読み出し専用である。,DVD-RAM は、データを一度だけ書き換えることができる。,DVD-RW は、データを繰り返し書き換えることができる。,,4,記憶媒体に関する問題である。 DVD-ROM ： 再生専用型の DVD。 DVD-R ： 一度だけ書き込みが可能な DVD。 DVD-RW ： 書き換え可能な DVD。同様の規格にDVD-RAMがある。 BD-ROM ： 再生専用型のブルーレイディスク。 BD-R ： 一度だけ書き込みが可能なブルーレイディスク。 BD-RE ： 書き換え可能なブルーレイディスク。 ア 不適切である。BD-ROMは再生専用型のブルーレイディスクである。 イ 不適切である。BD-Rは一度だけ書き込みが可能なブルーレイディスクである。 ウ 不適切である。DVD-RAMは書き換え可能なDVDである。 エ 適切である 本選択肢の通りエ 適切である。本選択肢の通り。,ア 不適切である。BD-ROMは再生専用型のブルーレイディスクである。,イ 不適切である。BD-Rは一度だけ書き込みが可能なブルーレイディスクである。,ウ 不適切である。DVD-RAMは書き換え可能なDVDである。,エ 適切である 本選択肢の通りエ 適切である。本選択肢の通り。,
R1 第3問：Webアプリケーションを開発するに当たっては、さまざまな開発言語や仕組みが必要になる。 Webアプリケーションの開発に利用する言語や仕組みに関する記述として、最も適切なものはどれか。,Ajax は、Web ブラウザのJavaScript のHTTP 通信機能を利用して、対話型のWeb アプリケー ションを構築する仕組みである。,Cookie は、 Web サーバに対するアクセスがどの端末からのものであるかを識別するために、 Web サーバの指示によってWeb サーバにユーザ情報などを保存する仕組みである。,CSS は、タグによって Web ページの構造を記述するマーク付け言語であり、利用者独自のタ グを使って文書の属性情報や論理構造を定義できる。,Java は、Ｃ言語にクラスやインヘリタンスといったオブジェクト指向の概念を取り入れた言 語であり、Ｃ言語に対して上位互換性を持つ。,,1,Web アプリケーションの開発に利用する言語や仕組みに関する問題である。 ア 適切である。Ajaxは「Asynchronous JavaScript + XML」の略称である。Webブラウザに実装 されているJavaScriptを用いたHTTP通信を利用して、画面一部の再描画を実現する対話型の Webアプリケーションを構築する仕組みである。 イ 不適切である。Cookieは、Webブラウザにユーザ情報などを保存する仕組みである。 ウ 不適切である。本選択肢はXMLの内容である。CSSはHTMLのデザイン部分を分離したもの で、Web ページのフォントや文字の大きさ、行間、表示位置の指示など、表示方法に関する事 項を定義するために利用する項を定義するために利用する。 エ 不適切である。「Javaは、Ｃ言語にクラスやインヘリタンスといったオブジェクト指向の概念を 取り入れた言語」という部分は適切だが、Ｃ言語との互換性はない。,ア 適切である。Ajaxは「Asynchronous JavaScript + XML」の略称である。Webブラウザに実装 されているJavaScriptを用いたHTTP通信を利用して、画面一部の再描画を実現する対話型の Webアプリケーションを構築する仕組みである。,イ 不適切である。Cookieは、Webブラウザにユーザ情報などを保存する仕組みである。,ウ 不適切である。本選択肢はXMLの内容である。CSSはHTMLのデザイン部分を分離したもの で、Web ページのフォントや文字の大きさ、行間、表示位置の指示など、表示方法に関する事 項を定義するために利用する項を定義するために利用する。,エ 不適切である。「Javaは、Ｃ言語にクラスやインヘリタンスといったオブジェクト指向の概念を 取り入れた言語」という部分は適切だが、Ｃ言語との互換性はない。,
R1 第5問：Web サービス開発では、従来のシステム開発とは異なる手法を採用することで、開発の迅速化やコ ストを低減することができる。 そのような開発手法の1つであるマッシュアップに関する記述として、最も適切なものはどれか。,開発対象のシステムを分割し、短期間に計画・分析・プログラミング・テストなどを繰り返し て実施する方法である。,既存ソフトウェアの動作を解析することで、プログラムの仕様やソースコードを導き出す方法 である。,公開されている複数の Web サービスを組み合わせることで新しいサービスを提供する方法で ある。,部品として開発されたプログラムを組み合わせてプログラムを開発する方法である。,,3,マッシ アップに関する問題である マッシュアップに関する問題である。 ア 不適切である。本選択肢はインクリメンタルモデルの内容である。インクリメンタルモデルとは、 システムを独立性の高いいくつかのサブシステムに分割し、サブシステムごとに「設計」、「実装 （作成）」、「テスト」、「評価」のサイクルを繰り返しながら、システムの完成度を段階的に高めて いく開発モデルである。 イ 不適切である。本選択肢はリバース・エンジニアリングの内容である。リバース・エンジニアリイ 不適切である。本選択肢はリバ ス エンジ アリングの内容である。リバ ス エンジ アリ ングとは、機械を分解したり、製品の動作を観察したり、ソフトウェアの動作を解析するなどして、 製品の構造を分析し、そこから製造方法や動作原理、設計図などの仕様やソースコードなどを 調査する事である。 ウ 適切である。マッシュアップとは、複数のWebサービスなどを組み合わせることで新しいサービ スを構築する手法のことである。例えば、飲食店のデータベースと地図データを組み合わせ、ス マートフォンなどで現在地周辺の飲食店を検索すると、地図上に各店舗の情報が現れるといっ たサービスがマッシュアップの例である。 エ 不適切である。本選択肢はOOAの内容である。OOAとは、オブジェクト（部品）に着目してシ ステムを分析・設計・開発をする方法である。 第6問 第6問 【解答】 ア 【解説】 情報処理（バッチ処理）に関する問題である。 ア 適切である。バッチ処理とは、処理に必要な情報を集めて、都合が良い時に一括に処理を行 う方法である。 イ 不適切である。本選択肢はトランザクション処理の内容である。トランザクション処理とは、関 連する処理を一つにまとめて処理する方法である。例えば、銀行口座のデータベースなどで入 金処理だけが終了して出金処理は失敗した状態では、入出金のバランスが崩れる。そこで、入 金処理と出金処理を一つの処理単位としてまとめて管理することで、出金と入金の両方が成功 したときだけ全体が成功したと評価し、入出金処理を更新する。 ウ 不適切である 本選択肢はリアルタイム処理の内容である リアルタイム処理とは コンピュウ 不適切である。本選択肢はリアルタイム処理の内容である。リアルタイム処理とは、コンピュ ータの処理要求が発生した時点で、即時に処理する方法である。 エ 不適切である。本選択肢は対話型処理の内容である。対話型処理とは、利用者とコンピュ ータがディスプレイなどを介して、あたかも対話するように相互に処理を行う方法である。,ア 適切である。バッチ処理とは、処理に必要な情報を集めて、都合が良い時に一括に処理を行 う方法である。,イ 不適切である。本選択肢はトランザクション処理の内容である。トランザクション処理とは、関 連する処理を一つにまとめて処理する方法である。例えば、銀行口座のデータベースなどで入 金処理だけが終了して出金処理は失敗した状態では、入出金のバランスが崩れる。そこで、入 金処理と出金処理を一つの処理単位としてまとめて管理することで、出金と入金の両方が成功 したときだけ全体が成功したと評価し、入出金処理を更新する。,ウ 不適切である 本選択肢はリアルタイム処理の内容である リアルタイム処理とは コンピュウ 不適切である。本選択肢はリアルタイム処理の内容である。リアルタイム処理とは、コンピュ ータの処理要求が発生した時点で、即時に処理する方法である。,エ 不適切である。本選択肢は対話型処理の内容である。対話型処理とは、利用者とコンピュ ータがディスプレイなどを介して、あたかも対話するように相互に処理を行う方法である。,
R1 第7問：中小企業においても、複数のコンピュータを用いてシステムを構築することが少なくない。 そのような場合のシステム構成に関する記述として、最も適切なものはどれか。,クライアントサーバシステムのクライアントで、データの処理や保管などの多くの機能を担う ように構成したシステムをシンクライアントシステムという。,システムを2系統用意し、常に同じ処理を行わせ、その結果を相互に照合・比較することで高 い信頼性を実現できるようにしたシステムをミラーリングシステムという。,ネットワーク上で対等な関係にあるコンピュータを相互に直接接続し、データを送受信するよ うに構成したシステムをグリッドコンピューティングシステムという。,複数のコンピュータを相互に接続し、あたかも1台の高性能なコンピュータのごとく利用でき るように構成したシステムをクラスタリングシステムという。,,4,複数のコンピュータを用いたシステム構築に関する問題である。 ア 不適切である。シンクライアントシステムとは、クライアントに最低限の機能しか持たせず、サ ーバが集中的にデータの処理や保管、アプリケーションを管理する方式である。 イ 不適切である。本選択肢はデュアルシステムの内容である。ミラーリングシステムは、同時に 複数のハードディスクに同じデータを書き込む方式のことである。 ウ 不適切である。本選択肢はピアツーピア（P2P）の内容である。グリッドコンピューティングシ ステムは、ネットワーク上で多数の小型コンピュータをつなぎ、それを仮想的な1台の高性能コ ンピュータと見なすシステムの方式のことである。 エ 適切である。本選択肢の通り。,ア 不適切である。シンクライアントシステムとは、クライアントに最低限の機能しか持たせず、サ ーバが集中的にデータの処理や保管、アプリケーションを管理する方式である。,イ 不適切である。本選択肢はデュアルシステムの内容である。ミラーリングシステムは、同時に 複数のハードディスクに同じデータを書き込む方式のことである。,ウ 不適切である。本選択肢はピアツーピア（P2P）の内容である。グリッドコンピューティングシ ステムは、ネットワーク上で多数の小型コンピュータをつなぎ、それを仮想的な1台の高性能コ ンピュータと見なすシステムの方式のことである。,エ 適切である。本選択肢の通り。,
R1 第8問：中小企業診断士のあなたは、あるメールを開封したところ、次のような URL に接続するように指示 が出てきた。 https://News.Fishing.jp/test このURL から分かることとして、最も適切なものはどれか。,SSL を用いて暗号化されたデータ通信であることが確認できる。,大文字と小文字を入れ替えた偽サイトであることが確認できる。,参照先ホストのサーバが日本国内に設置されていることが確認できる。,ホスト名の WWW が省略されていることが確認できる。,,1,複数のコンピュータを用いたシステム構築に関する問題である。 ア 適切である。SSLは、トランスポート層の通信セ キュリティを確保するプロトコルで、Webサー バとWebクライアント間で情報を暗号化して送受信し、第三者に情報が悪用されることを防ぐ。 SSL を利用したホームページを表示する際の URLは、「http://」ではなく、「https://」となる。 イ 不適切である。ドメイン名は大文字と小文字の区別はなく同一のものとして扱われるため、 本問のURLだけでは偽サイトであることは確認できない。 ウ 不適切である。「jp」は、ドメインを取得した団体、組織、個人が日本に住所があることを示す ものであり、サーバの設置場所を示すものではない。 エ 不適切である。「WWW」は、あってもなくても問題がないため、本問のURLだけでは、WWW が 省略されているのか、もともとなかったのか確認できない。,ア 適切である。SSLは、トランスポート層の通信セ キュリティを確保するプロトコルで、Webサー バとWebクライアント間で情報を暗号化して送受信し、第三者に情報が悪用されることを防ぐ。 SSL を利用したホームページを表示する際の URLは、「http://」ではなく、「https://」となる。,イ 不適切である。ドメイン名は大文字と小文字の区別はなく同一のものとして扱われるため、 本問のURLだけでは偽サイトであることは確認できない。,ウ 不適切である。「jp」は、ドメインを取得した団体、組織、個人が日本に住所があることを示す ものであり、サーバの設置場所を示すものではない。,エ 不適切である。「WWW」は、あってもなくても問題がないため、本問のURLだけでは、WWW が 省略されているのか、もともとなかったのか確認できない。,
R1 第9問：企業の情報システム開発においては多様なデータベース（DB）が用いられる。それらを適切に利用 するためには、各DBの特徴を把握しておく必要がある。 DBに関する記述として、最も適切なものの組み合わせを下記の解答群から選べ。,レコード間の相互関係をポインタを用いて記述した木構造で表現できるDBを階層型DBという。,データを複数の表に整理して、表と表の間はそれぞれの表の中の値を用いて関連付けるDBを ネットワーク型DBという。,データを識別するためのキーとデータの値をペアにして多様なデータを格納・管理するDBを キー・バリュー型DBという。,レコード間の相互関係をリンクを用いて記述した木構造や網構造も表現できるDBを関係デー タベースという。,ａとｂ,2,データベース（DB）に関する問題である。 a 適切である。 階層型のデータベースではデータを親子関係として表現する（木）ツリー構造 で表現する。ポインタはレコード間に相互関係があることを表す。代表的な使用例としては、会 社の組織図がある。 b 不適切である。本選択肢はリレーショナルデータベースの内容である。ネットワーク型のデー タベースは、階層型と同じように、データを親子関係として表現する（木）ツリー構造で表現する が、子が親を複数持てるという点に違いがある。が、子が親を複数持てるという点に違いがある。 c 適切である。キーバリューデータベースとは、リレーショナルデータベースと比べて単純で、 キー（個々を識別する情報）とバリュー（キーに関連付けられる値）の組としてデータを保存す る形式である。いわば一次元配列の各値（バリュー）にそれぞれ対応する検索キーを振った ものである。 d 不適切である。本選択肢はネットワーク型データベースの内容である。リレーションナル型は、 データの集まりを行と列からなる表形式で表現する。 したがって、aとcが適切であるため、イが正解となる。 第10問 第10問 【解答】 ウ 【解説】 静止画像データのファイル形式に関する問題である。 a 不適切である。本選択肢はGIF形式の内容である。BMP（bitmap）とは、Windows での標準画 質形式で、最高1677万色をサポートする。基本的には無圧縮高画質なのでファイル容量は大 きいものになる。 b 適切である。JPEGとは、最高1677万色をサポートするフルカラー画像の圧縮技術である。色 数が多いため、デジタルカメラなどの写真画像に利用されている。非可逆圧縮で圧縮前のデー タに戻せない。 c 不適切である。本選択肢はBMP形式の内容である。GIFとは、圧縮した画像ファイル形式で ある。色は最大で256色と、写真や色数の多い画像には不向きである。主に Web素材（ロゴや アイコン画像）に利用されている。 d 適切である。PNGとは、GIFに変わる Webページ用画像として開発された、可逆圧縮方式の 画像ファイル形式である。 GIF と比較してファイル圧縮率が高く、フルカラーで画質が劣化しな い点が特徴である。 したがって、bとdが適切であるため、ウが正解となる。,,,,,
R1 第11問：パーソナルコンピュータ（PC）を会社内のLANに接続し、インターネットを利用して業務を行う場 面が増え、インターネットの管理・運用に関する理解が必要になっている。 インターネットの管理・運用に関する記述として、最も適切なものはどれか。,DHCP は、会社内のプライベートIPアドレスをグローバルIPアドレスに変換し、インターネッ トへのアクセスを可能にする。,MACアドレスは、PCに割り振る識別番号であり、ネットワークのグループを示すネットワー クアドレス部と、そのネットワークに属する個々のPCを識別するホストアドレス部に分かれる。,NATは、LANに接続するPC に対してIPアドレスを始めとして、ホスト名や経路情報、 DNSサー バの情報など、通信に必要な設定情報を自動的に割り当てるプロトコルである。,ポート番号は、TCPや UDP通信において通信相手のアプリケーションを識別するために利用さ れる番号であり、送信元ポート番号と宛先ポート番号の両方を指定する必要がある。,,4,インターネットの管理・運用に関する問題である。 ア 不適切である。本選択肢はNATの内容である。DHCPとは、ネットワークに接続しているコン ピュータに対し、 IP アドレスなどの必要な情報を自動的に割り振るためのプロトコルである。 イ 不適切である。本選択肢はIPアドレスの内容である。MACアドレスとは、LANに接続されてい る端末機器を識別するための情報である。6バイトで表記される。各MACアドレスは、電話番号 のように世界で一意の番号となっており、データリンク層において通信を行う際の送信元や宛 先指定のためなどに利用される。 ウ 不適切である。本選択肢はDHCPの内容である。NATとは、ローカル IP アドレスとグローバ ル IP アドレスを1対1で変換する機能である。 エ 適切である。ポート番号とは、トランスポート層 において、どのアプリケーションのデータである かを識別するために用いられる番号のことである。通信するマシン上で複数のアプリケーション が稼働している場合、実際の通信ではどのアプリケーション同士が通信しているかまで特定す る必要があるが、IPアドレスでは基本的にマシンを特定することまでなので、ポート番号でアプ リケーションを特定することになる。,ア 不適切である。本選択肢はNATの内容である。DHCPとは、ネットワークに接続しているコン ピュータに対し、 IP アドレスなどの必要な情報を自動的に割り振るためのプロトコルである。,イ 不適切である。本選択肢はIPアドレスの内容である。MACアドレスとは、LANに接続されてい る端末機器を識別するための情報である。6バイトで表記される。各MACアドレスは、電話番号 のように世界で一意の番号となっており、データリンク層において通信を行う際の送信元や宛 先指定のためなどに利用される。,ウ 不適切である。本選択肢はDHCPの内容である。NATとは、ローカル IP アドレスとグローバ ル IP アドレスを1対1で変換する機能である。,エ 適切である。ポート番号とは、トランスポート層 において、どのアプリケーションのデータである かを識別するために用いられる番号のことである。通信するマシン上で複数のアプリケーション が稼働している場合、実際の通信ではどのアプリケーション同士が通信しているかまで特定す る必要があるが、IPアドレスでは基本的にマシンを特定することまでなので、ポート番号でアプ リケーションを特定することになる。,
R1 第12問：中小企業においても、ネットワーク環境を理解することは重要である。ネットワーク機器と、それに 対応する通信ネットワークにおけるOSI 基本参照モデルの階層の組み合わせとして、最も適切なものを 下記の解答群から選べ。 【ネットワーク機器】 a LAN ケーブルのように、電気的な信号を送受信する装置 b リピーターハブのように、ケーブルを流れる電気信号を増幅して LAN の総延長距離を伸長す る装置 c ルータのように、異なる LAN 同士の中継役を担う装置 【OSI基本参照モデルの階層の第1層～第5層】 ① 第1層（物理層） ② 第2層（データリンク層） ③ 第3層（ネットワーク層） ④ 第4層（トランスポート層） ⑤ 第5層（セッション層）,ａと① ｂと② ｃと③,ａと① ｂと③ ｃと④,ａと② ｂと③ ｃと④,ａと② ｂと④ ｃと⑤,,1,OSI 基本参照モデルに関する問題である。 OSI基本参照モデルとは、ISOが異機種間接続を円滑にするために策定したプロトコルで世界標準 である。通信機能を以下に示す7階層に分割している。 a LAN ケーブルのように、電気的な信号を送受信する装置は「第1層」に該当する。 b リピーターハブのように、ケーブルを流れる電気信号を増幅してLAN の総延長距離を伸長す る装置は本来、「第1層」に該当する。しかし、一般社団法人中小企業協会が発表した正解は 「第2層 データリンク層」としている。この点疑義が残るが、「最も適切なもの」ということから、 第1層に最も近い階層である「第2層 データリンク層」が適切と考える。 c ルータのように、異なるLAN 同士の中継役を担う装置は「第3層」に該当する。 したがって、アが正解となる。 第13問 第13問 【解答】 イ 【解説】 RASISに関する問題である。 信頼性の指標には、信頼性（Reliability）、可用性（Availavility）、保守性（Serviceability）の頭文字を とってRAS 、さらに整合性（Integrity）、安全性（Security）を追加して RASIS がある。 ・信頼性（Reliability） コンピュータシステムの故障しにくさを表す指標である。故障から次の故障までの平均時間を示 すMTBF（Mean Time Between Failures：平均故障間隔）を指標とする。 ・可用性（Availavility） コンピュータシステムを利用できる可能性を表す指標である。 システムが利用できる確率である稼働率を指標とする。 ・保守性（Serviceability） 保守のしやすさを表す指標である。 コンピュータシステムが故障してから利用できるまでの平均時間を示すMTTR（Mean Time To Repair：平均修理時間）を指標とする。 ・整合性（Integrity） 完全性や保全性とも呼ばれ、コンピュータシステムの整合性をどの程度保つことができるかを表 す指標である。 一部の機器故障やデータの紛失が生じても、正常動作している機能まで侵害しないことや、デー タを矛盾なく復旧させることができるようにすることが、整合性の高さに影響する。 ・安全性（Security） 機密性やセキュリティとも呼ばれ、データが簡単に流出しないようになっているかを表す指標で ある。 ア 不適切である。安全性に関する情報がなく、優劣をつけることはできない。 イ 適切である。可用性は稼働率を指標とする。稼働率は「MTBF÷（MTBF＋MTTR」で算出で きる。 システムAの稼働率 480÷（480＋20） 0 96（96％） システムAの稼働率＝480÷（480＋20）＝0.96（96％） システムBの稼働率＝532÷（532＋28）＝0.95（95％） したがって、可用性は、システムＡの方がシステムＢよりも優れている。 ウ 不適切である。信頼性はMTBF（平均故障間隔）を指標とする。 システムAのMTBF ： 480時間 システムBのMTBF ： 532時間 したがって、信頼性は、システムBの方がシステムAよりも優れている。 エ 不適切である。保全性（整合性）に関する情報がなく、優劣をつけることはできない。,ア 不適切である。安全性に関する情報がなく、優劣をつけることはできない。,イ 適切である。可用性は稼働率を指標とする。稼働率は「MTBF÷（MTBF＋MTTR」で算出で きる。 システムAの稼働率 480÷（480＋20） 0 96（96％） システムAの稼働率＝480÷（480＋20）＝0.96（96％） システムBの稼働率＝532÷（532＋28）＝0.95（95％） したがって、可用性は、システムＡの方がシステムＢよりも優れている。,ウ 不適切である。信頼性はMTBF（平均故障間隔）を指標とする。 システムAのMTBF ： 480時間 システムBのMTBF ： 532時間 したがって、信頼性は、システムBの方がシステムAよりも優れている。,エ 不適切である。保全性（整合性）に関する情報がなく、優劣をつけることはできない。,
R1 第14問：e-ビジネスでは、新しいビジネスモデルを開発して特許を得ることによって利益を得ることがある。 以下の記述のうち、日本において特許として認められていないものはどれか。,航空券の購入希望者が条件を入力すると、複数の航空券販売業者が販売価格を提示し、購入希 望者が1つを選択して予約する逆オークションのシステム。,ネットで商品を注文して30分以内に配達できなければ割引する配達保証のサービス。,ネットで商品を注文する際に、購入希望品目をショッピングカートに入れれば、個別商品ごと に決済しなくても最後にまとめて決済できるシステム。,ネットで商品を注文する際に、住所や連絡先を一度入力しておけば2 度目からはワンクリック で完了させることのできるシステム。,,2,【解説】 e-ビジネスにおける特許に関する問題である。 ビジネスモデル特許とは、仕事の仕組みに採り入れられる情報技術(ＩＴ)などの新しい技術に与えら れる特許である。ビジネス方法そのものは特許にならない。特許は技術的な創作が認められるもの が対象となるので、コンピュータ技術と組み合わされたビジネス方法やコンピュータシステムが、ビジ ネスモデル特許の対象となる。 ア 不適切である 逆オ ークション特許としてアメリカで登録され 日本でも認められているア 不適切である。逆オ クション特許としてアメリカで登録され 、日本でも認められている。 イ 適切である。ネットで商品を注文して30 分以内に配達できなければ割引する配達保証のサ ービスには、技術的な創作という要件を満たしておらず、特許として認められていない。 ウ 不適切である。ショッピングカート特許としてアメリカで登録され、日本でも認められている。 エ 不適切である。ワンクリック特許としてアメリカで登録され、日本でも認められている。,ア 不適切である 逆オ ークション特許としてアメリカで登録され 日本でも認められているア 不適切である。逆オ クション特許としてアメリカで登録され 、日本でも認められている。,イ 適切である。ネットで商品を注文して30 分以内に配達できなければ割引する配達保証のサ ービスには、技術的な創作という要件を満たしておらず、特許として認められていない。,ウ 不適切である。ショッピングカート特許としてアメリカで登録され、日本でも認められている。,エ 不適切である。ワンクリック特許としてアメリカで登録され、日本でも認められている。,
R1 第15問：「ERP（Enterprise Resource Planning）システム」に関する記述として、最も適切なものはどれか。,基幹業務プロセスの実行を、統合業務パッケージを利用して、必要な機能を相互に関係付けな がら支援する総合情報システムである。,基幹業務プロセスをクラウド上で処理する統合情報システムである。,企業経営に必要な諸資源を統合的に管理するシステムである。,企業経営の持つ諸資源の戦略的な活用を計画するためのシステムである。,,1,ERP（Enterprise Resource Planning）システムに関する問題である。 ERPとは、企業内の財務・会計、物流、在庫、人事、生産、販売などの経営情報を一元的、かつリア ルタイムに管理する考え方であり、既存の情報システムを統合したものとして捉えられている。 ERP はシステムを統合することにより、各業務システムの部分最適ではなく、全体最適化を目指す ものである。 ア 適切である。ERPシステムとは、基幹業務プロセスの実行を、統合業務パッケージ（ERPパッ ケージ）を利用して、必要な機能を相互に関係付けながら支援する総合情報システムである。 イ 不適切である。ERPシステムにはクラウド型だけでなく、オンプレミス型（自社の中でシステム を保有し、自社内の設備によって運用する）もある。 ウ 不適切である。ERPシステムの内容として不適切な部分はないが、アとの相対比較で不適切 となる。 エ 不適切である。ERPシステムは諸資源の戦略的な活用を「計画」するものではない。,ア 適切である。ERPシステムとは、基幹業務プロセスの実行を、統合業務パッケージ（ERPパッ ケージ）を利用して、必要な機能を相互に関係付けながら支援する総合情報システムである。,イ 不適切である。ERPシステムにはクラウド型だけでなく、オンプレミス型（自社の中でシステム を保有し、自社内の設備によって運用する）もある。,ウ 不適切である。ERPシステムの内容として不適切な部分はないが、アとの相対比較で不適切 となる。,エ 不適切である。ERPシステムは諸資源の戦略的な活用を「計画」するものではない。,
